id,driver_id,driver_ssign_id,imei,date_from,date_to,overspeed_accuracy,overspeed_zone,overspeed_road,overspeed_standard,os_acc_distance,os_zo_distance,os_ro_distance,os_st_distance,distance_traveled,duration_traveled,engine_idle,harsh_breaking,harsh_cornering,harsh_acceleration,seat_belt,engine_work,type
148,4148,240000011A86C301,354018119605198,"2025-11-04 08:13:06","2025-11-04 10:39:20",0,0,0,23,0,0,0,120.862,143.78,5945,0,0,0,0,28,5945,0
149,4155,BB0000011BACAA01,357544374287858,"2025-11-04 06:18:10","2025-11-05 00:00:00",0,0,0,16,0,0,0,121.282,157.14,7991,36689,0,0,0,29,44680,0
150,4160,9700000133B0DD01,357544372508255,"2025-11-04 03:47:01","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,7.19,1560,52836,0,0,0,2,54396,0
151,4166,F2000001A9ED3701,350612070044639,"2025-11-04 13:46:57","2025-11-05 00:00:00",0,0,0,29,0,0,0,108.356,136.81,6231,343,0,0,0,21,6574,0
152,4169,8D000001191B7F01,357544371544004,"2025-11-04 02:57:48","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,3.26,845,38344,0,0,0,2,39189,0
153,4169,8D000001191B7F01,358480088286333,"2025-11-04 09:56:02","2025-11-05 00:00:00",0,0,0,27,0,0,0,151.652,196.82,9520,40463,0,0,0,92,49983,0
154,4173,1B00000133DDBB01,354017114628262,"2025-11-04 03:46:45","2025-11-05 00:00:00",0,0,0,39,0,0,0,210.564,360.01,26182,24032,0,0,0,130,50214,0
155,4177,DD000001343FEA01,357544374163562,"2025-11-04 03:25:03","2025-11-05 00:00:00",0,0,0,1,0,0,0,1.298,17.81,3505,70537,0,0,0,2,74042,0
156,4184,F500000133D1B101,354018117330534,"2025-11-04 11:22:07","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,4191,C40000011DF88701,354018119605404,"2025-11-04 08:53:13","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,2.74,3995,25216,0,0,0,1,29211,0
158,4193,E70000016E359E01,354018119610487,"2025-11-04 02:59:36","2025-11-05 00:00:00",0,0,0,61,0,0,0,68.087,414.86,40451,21124,0,0,0,141,61575,0
159,4197,2B0000011A779E01,357544374284210,"2025-11-04 04:19:35","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,154.1,12964,13750,0,0,0,71,26714,0
178,4200,0A000004B04D5E01,357544374331227,"2025-11-04 11:46:06","2025-11-05 00:00:00",0,0,0,13,0,0,0,26,51.17,3950,321,0,0,0,38,4271,0
179,4209,BC000001190FA601,864636062887506,"2025-11-04 08:39:58","2025-11-05 00:00:00",0,0,0,11,0,0,0,32.963,106.12,11969,16612,0,0,0,78,28581,0
180,4229,DD000001EF92E701,359633105014182,"2025-11-04 03:54:40","2025-11-05 00:00:00",0,0,0,7,0,0,0,5.729,86.67,9651,30571,0,0,0,36,40222,0
181,4239,62000001229A6D01,357544374284301,"2025-11-04 11:47:31","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,105.5,7790,1907,0,0,0,22,9697,0
182,4239,62000001229A6D01,357544376932675,"2025-11-04 01:00:29","2025-11-04 05:43:45",0,0,0,22,0,0,0,207.382,239.77,12181,4690,0,0,0,63,16871,0
183,4244,AA00000118DCCB01,357544376932675,"2025-11-04 05:43:46","2025-11-04 06:01:06",0,0,0,0,0,0,0,0,3.09,790,0,0,0,0,7,790,0
189,4257,9D000001AED33D01,354018117972905,"2025-11-04 11:28:43","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,4263,56000015330BAB01,354018114941663,"2025-11-04 03:48:22","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,119.68,24295,12845,0,0,0,88,37140,0
191,4263,56000015330BAB01,354018119605180,"2025-11-04 13:43:42","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,35.86,3651,1471,0,0,0,16,5122,0
192,4286,B6000001283E2401,357544374246557,"2025-11-04 04:40:11","2025-11-04 05:17:55",0,0,0,0,0,0,0,0,1.02,401,1831,0,0,0,0,2232,0
193,4296,4E00000118995901,354018118192982,"2025-11-04 16:45:51","2025-11-05 00:00:00",0,0,0,14,0,0,0,46.661,69.64,5998,3030,0,0,0,29,9028,0
207,4308,C2000001AA0B0901,354018119658635,"2025-11-04 05:20:54","2025-11-05 00:00:00",0,0,0,30,0,0,0,83.908,135.45,7111,0,0,0,0,19,7111,0
208,4310,4A000001B393DB01,354017113655811,"2025-11-04 11:58:24","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0.05,802,27029,0,0,0,0,27831,0
209,4310,4A000001B393DB01,354017114542190,"2025-11-04 13:11:50","2025-11-04 19:13:51",0,0,0,29,0,0,0,45.266,114.16,9662,2904,0,0,0,65,12566,0
210,4310,4A000001B393DB01,354018119602724,"2025-11-04 01:24:30","2025-11-05 00:00:00",0,0,0,29,0,0,0,21.474,148.48,32378,48693,0,0,0,26,81071,0
211,4318,89000001C66A3201,354018119611402,"2025-11-04 10:33:10","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,4321,FF000001E9B55001,357544374246557,"2025-11-04 05:17:56","2025-11-04 11:05:46",0,0,0,13,0,0,0,26.548,79.38,7991,11055,0,0,0,39,19046,0
213,4321,FF000001E9B55001,359633105111988,"2025-11-04 04:30:01","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,16.99,7033,28908,0,0,0,5,35941,0
214,4322,5500000116BB1901,354018119605198,"2025-11-04 02:00:10","2025-11-04 03:05:27",0,0,0,10,0,0,0,8.643,45.87,3530,0,0,0,0,24,3530,0
215,4324,E700000119D4E601,864636065368975,"2025-11-04 04:05:26","2025-11-05 00:00:00",0,0,0,8,0,0,0,4.687,26.2,3158,28828,0,0,0,34,31986,0
216,4334,B7000001AF710601,864636060339369,"2025-11-04 17:36:21","2025-11-05 00:00:00",0,0,0,23,0,0,0,114.113,137.71,6780,561,0,0,0,25,7341,0
217,4341,5F00000117381901,359632108014454,"2025-11-04 16:05:11","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,8.53,1999,26222,0,0,0,1,28221,0
218,4343,2F000001172A4101,354018119605388,"2025-11-04 00:39:48","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,28.67,8510,75464,0,0,0,13,83974,0
219,4347,2B00000118952D01,357073299692547,"2025-11-04 08:15:25","2025-11-05 00:00:00",0,0,0,23,0,0,0,109.455,181.85,10514,19930,0,0,0,54,30444,0
220,4355,2F00001E96B0DA01,354017116494259,"2025-11-04 08:18:46","2025-11-05 00:00:00",0,0,0,27,0,0,0,50.576,109.45,10903,21313,0,0,0,80,32216,0
221,4358,D900000116828401,864636064961572,"2025-11-04 09:45:04","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0,0,25067,0,0,0,0,25067,0
222,4372,2300000122C1C601,350544501140076,"2025-11-04 06:47:39","2025-11-05 00:00:00",0,0,0,56,0,0,0,119.91,194.88,13060,10895,0,0,0,65,23955,0
223,4378,84000001ABEC4801,354017113618504,"2025-11-04 03:45:31","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,5.25,3285,39696,0,0,0,0,42981,0
224,4379,56000001175CA901,354018118610231,"2025-11-04 07:23:23","2025-11-05 00:00:00",0,0,0,18,0,0,0,30.283,49.47,3445,5837,0,0,0,27,9282,0
225,4385,D90000011A1C3401,357073299692547,"2025-11-04 02:31:55","2025-11-04 08:15:24",0,0,0,33,0,0,0,134.822,160.92,8574,5977,0,0,0,40,14551,0
226,4388,5800000119DB8801,359632107875236,"2025-11-04 04:08:06","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,164.84,21322,14425,0,0,0,150,35747,0
227,4392,2B0000011A498201,357544376357584,"2025-11-04 13:55:18","2025-11-05 00:00:00",0,0,0,25,0,0,0,49.143,150.2,9042,472,0,0,0,70,9514,0
228,4392,2B0000011A498201,359633105116979,"2025-11-04 18:07:56","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0.04,7,18656,0,0,0,0,18663,0
229,4394,F7000001C9445E01,357544372508362,"2025-11-04 02:36:22","2025-11-04 14:27:17",0,0,0,36,0,0,0,283.799,329.23,15803,15341,0,0,0,65,31144,0
230,4398,6B0000012218BA01,354017113655811,"2025-11-04 03:26:48","2025-11-04 04:47:04",0,0,0,0,0,0,0,0,19.15,3095,683,0,0,0,7,3778,0
231,4415,10000001A0E82C01,354018117971774,"2025-11-04 10:12:32","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,1.09,1562,18221,0,0,0,0,19783,0
232,4426,C70000011B144501,357544374246557,"2025-11-04 15:32:50","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,12.71,1748,5980,0,0,0,10,7728,0
233,4431,4800000133DECC01,359633105020221,"2025-11-04 10:42:34","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,35.04,5527,41874,0,0,0,7,47401,0
234,4444,18000001179BF701,357544372508362,"2025-11-04 14:27:18","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,6.22,1463,4498,0,0,0,9,5961,0
235,4451,C90000011A295301,357544374129480,"2025-11-04 13:16:25","2025-11-05 00:00:00",0,0,0,6,0,0,0,9.433,102.77,6250,4022,0,0,0,6,10272,0
236,4453,120000016DDB3D01,864636063553172,"2025-11-04 06:33:54","2025-11-05 00:00:00",0,0,0,10,0,0,0,16.031,78.13,7049,18003,0,0,0,69,25052,0
237,4455,FD000001F87F2601,357544376378747,"2025-11-04 04:52:52","2025-11-05 00:00:00",0,0,0,47,0,0,0,222.56,310.57,16722,14315,0,0,0,69,31037,0
238,4466,1B0000011DCAA501,354018117330534,"2025-11-04 02:12:40","2025-11-04 11:22:06",0,0,0,20,0,0,0,7.9,320.2,24364,8547,0,0,0,54,32911,0
239,4466,1B0000011DCAA501,357544374284210,"2025-11-04 03:35:49","2025-11-04 04:19:34",0,0,0,0,0,0,0,0,0,0,2326,0,0,0,0,2326,0
240,4473,A1000001BA682F01,864636065363786,"2025-11-04 04:58:21","2025-11-05 00:00:00",0,0,0,20,0,0,0,20.25,61.15,6195,25167,0,0,0,66,31362,0
241,4475,F9000001331A0201,359632108015956,"2025-11-04 00:47:43","2025-11-05 00:00:00",0,0,0,25,0,0,0,111.403,174.91,12596,53703,0,0,0,70,66299,0
242,4484,2A00000119FA6A01,358480088286333,"2025-11-04 07:21:08","2025-11-04 09:56:01",0,0,0,17,0,0,0,17.389,26.75,1488,7805,0,0,0,33,9293,0
243,5807,AD0000016EB1DB01,354018119605198,"2025-11-04 03:05:28","2025-11-04 05:54:58",0,0,0,17,0,0,0,24.998,48.32,3727,801,0,0,0,31,4528,0
244,5824,4500001E965A3501,354018119605214,"2025-11-04 12:39:58","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,5829,A200001E973A1F01,357544374287858,"2025-11-04 02:20:36","2025-11-04 06:18:09",0,0,0,19,0,0,0,133.199,180.26,8408,4310,0,0,0,36,12718,0
246,5829,A200001E973A1F01,358480088482817,"2025-11-04 03:59:24","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,5.36,1300,29330,0,0,0,6,30630,0
247,5830,3000001E97581F01,354018119605313,"2025-11-04 21:42:39","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,37,0
248,5830,3000001E97581F01,354018119621039,"2025-11-04 10:11:12","2025-11-05 00:00:00",0,0,0,4,0,0,0,4.22,185.42,15497,34174,0,0,0,27,49671,0
249,5831,8E00001E96434101,354018119605198,"2025-11-04 05:54:59","2025-11-04 08:13:05",0,0,0,41,0,0,0,141.541,170.67,7561,508,0,0,0,39,8069,0
250,5877,870000016E0BF901,350612075187086,"2025-11-04 07:04:23","2025-11-05 00:00:00",0,0,0,53,0,0,0,130.63,237.12,22893,2991,0,0,0,125,25884,0
251,5984,9100000004384808,354018117969828,"2025-11-04 16:59:45","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,5986,CC0000000451A108,354018117973051,"2025-11-04 10:12:23","2025-11-05 00:00:00",0,0,0,28,0,0,0,31.615,132.47,7704,0,0,0,0,6,7704,0
253,5987,72000001342D2001,354018119605172,"2025-11-04 10:12:24","2025-11-05 00:00:00",0,0,0,27,0,0,0,100.953,117.63,5517,4963,0,0,0,19,10480,0
254,5997,6B000001171ED301,354018114481652,"2025-11-04 14:54:41","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,13.04,2297,0,0,0,0,14,2297,0
255,6043,D100000004226908,354018119658635,"2025-11-04 04:23:36","2025-11-04 05:20:53",0,0,0,2,0,0,0,1.281,11.67,1458,1889,0,0,0,12,3347,0
256,6081,EA00000004396808,350544501138260,"2025-11-04 07:01:43","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0.1,122,1310,0,0,0,0,1432,0
257,6348,2B000000043F4D08,357544376976797,"2025-11-04 06:20:05","2025-11-05 00:00:00",0,0,0,7,0,0,0,20.376,30.26,2796,10335,0,0,0,14,13131,0
258,7629,6000000004115008,354018117298707,"2025-11-04 12:28:49","2025-11-05 00:00:00",0,0,0,3,0,0,0,4.011,168.62,14594,10927,0,0,0,63,25521,0
259,1736,,222222222222222,"2025-11-26 00:00:00","2025-11-27 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,1737,,333333333333333,"2025-11-26 00:00:00","2025-11-27 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,1195,,350612075186856,"2025-11-26 00:00:00","2025-11-27 00:00:00",0,0,0,5,0,0,0,5.151,184.63,16085,38945,0,0,0,30,55030,0
262,1198,,350612074739390,"2025-11-26 00:00:00","2025-11-27 00:00:00",0,0,0,0,0,0,0,0,226.36,20492,34565,0,0,0,77,55057,0
263,23,FE00000118BC3A01,357544374331318,"2025-11-26 14:15:05","2025-11-27 00:00:00",0,0,0,12,0,0,0,35.936,52.86,3711,0,0,0,0,19,3711,0
264,33,2300000158DA2F01,358480088286333,"2025-11-26 02:02:21","2025-11-27 00:00:00",0,0,0,4,0,0,0,33.782,60.1,4779,42882,0,0,0,23,47661,0
265,4057,C90000016E529C01,354018117968184,"2025-11-26 02:25:11","2025-11-27 00:00:00",0,0,0,0,0,0,0,0,43.53,6902,39503,0,0,0,19,46405,0
266,4057,C90000016E529C01,354018117971774,"2025-11-26 09:32:42","2025-11-27 00:00:00",0,0,0,0,0,0,0,0,0,0,19669,0,0,0,0,19669,0
267,4057,C90000016E529C01,354018119649337,"2025-11-26 00:03:36","2025-11-27 00:00:00",0,0,0,2,0,0,0,0.776,38.59,4130,50694,0,0,0,15,54824,0
268,4058,650000016E5ED701,354018114485976,"2025-11-26 10:19:32","2025-11-27 00:00:00",0,0,0,24,0,0,0,27.821,50.52,4436,2828,0,0,0,25,7264,0
269,4116,5F00000121D77801,357544377264714,"2025-11-26 04:46:51","2025-11-27 00:00:00",0,0,0,22,0,0,0,56.117,86.12,5605,27724,0,0,0,48,33329,0
270,4123,F000000134221001,359632108015154,"2025-11-26 12:57:11","2025-11-26 15:35:27",0,0,0,2,0,0,0,15.775,84.78,5475,1524,0,0,0,57,6999,0
271,1736,,222222222222222,"2025-11-27 00:00:00","2025-11-28 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,1737,,333333333333333,"2025-11-27 00:00:00","2025-11-28 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,1195,,350612075186856,"2025-11-27 00:00:00","2025-11-28 00:00:00",0,0,0,3,0,0,0,5.766,65.84,5709,29740,0,0,0,10,35449,0
274,1198,,350612074739390,"2025-11-27 00:00:00","2025-11-28 00:00:00",0,0,0,0,0,0,0,0,93.21,8429,26788,0,0,0,23,35217,0
275,3,7800000118EF1F01,350424063172090,"2025-11-27 08:34:45","2025-11-28 00:00:00",0,0,0,0,0,0,0,0,0.07,417,3512,0,0,0,0,3929,0
276,25,FD0000011B1D7A01,357544374331318,"2025-11-27 03:08:46","2025-11-28 00:00:00",0,0,0,10,0,0,0,40.938,54.37,3608,0,0,0,0,15,3608,0
277,27,73000001CE212D01,863719061945607,"2025-11-27 07:52:17","2025-11-28 00:00:00",0,0,0,0,0,0,0,0,0.34,897,5398,0,0,0,0,6295,0
278,33,2300000158DA2F01,358480088286333,"2025-11-27 00:36:44","2025-11-28 00:00:00",0,0,0,5,0,0,0,11.446,35.78,3243,29554,0,0,0,26,32797,0
279,4057,C90000016E529C01,354018119649337,"2025-11-27 01:35:51","2025-11-27 01:42:05",0,0,0,0,0,0,0,0,0.03,5,354,0,0,0,0,359,0
280,4074,F7000001AD441B01,357544376378986,"2025-11-27 21:25:32","2025-11-28 00:00:00",0,0,0,1,0,0,0,6.98,10.26,854,0,0,0,0,4,854,0
438,1736,,222222222222222,"2025-11-30 00:00:00","2025-12-01 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,1737,,333333333333333,"2025-11-30 00:00:00","2025-12-01 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,1195,,350612075186856,"2025-11-30 00:00:00","2025-12-01 00:00:00",0,0,0,22,0,0,0,32.612,234.74,23685,62671,0,0,0,39,86356,0
441,1198,,350612074739390,"2025-11-30 00:00:00","2025-12-01 00:00:00",0,0,0,0,0,0,0,0,265.32,29032,57205,0,0,0,76,86237,0
442,20,FF0000011B014C01,354018119658643,"2025-11-30 06:55:55","2025-11-30 14:19:32",0,0,0,0,0,0,0,0,0.07,300,26018,0,0,0,0,26318,0
443,20,FF0000011B014C01,359633105014182,"2025-11-30 07:34:36","2025-11-30 14:22:38",0,0,0,0,0,0,0,0,2.65,2333,21850,0,0,0,0,24183,0
444,23,FE00000118BC3A01,357544374331318,"2025-11-30 14:04:18","2025-11-30 14:18:44",0,0,0,3,0,0,0,10.399,11.68,848,0,0,0,0,3,848,0
445,34,01000001345CD801,354018117255541,"2025-11-30 12:17:39","2025-12-01 00:00:00",0,0,0,15,0,0,0,23.444,44.69,3529,770,0,0,0,23,4299,0
446,4058,650000016E5ED701,354018119648701,"2025-11-30 00:46:54","2025-11-30 12:41:03",0,0,0,1,0,0,0,0.368,37.67,12208,30557,0,0,0,15,42765,0
447,4060,C400000172566101,354018119605214,"2025-11-30 06:52:43","2025-11-30 13:00:40",0,0,0,12,0,0,0,5.809,172.24,17747,4253,0,0,0,34,22000,0
448,4073,7E0000011C3CCB01,350317179831239,"2025-11-30 20:28:50","2025-12-01 00:00:00",0,0,0,8,0,0,0,7.02,199.4,12600,0,0,0,0,29,12600,0
449,4080,700000016EBAB901,359633105020452,"2025-11-30 04:54:12","2025-12-01 00:00:00",0,0,0,18,0,0,0,155.112,184.51,8811,24289,0,0,0,38,33100,0
450,4085,84000004B02C8701,354018119649337,"2025-11-30 12:02:54","2025-12-01 00:00:00",0,0,0,0,0,0,0,0,32.05,3041,730,0,0,0,13,3771,0
451,4097,1A000001178B6D01,350424063083248,"2025-11-30 01:44:37","2025-11-30 12:54:39",0,0,0,0,0,0,0,0,1.75,462,28372,0,0,0,3,28834,0
452,4108,4A000001934F2701,359632108015956,"2025-11-30 04:09:04","2025-11-30 05:34:42",0,0,0,15,0,0,0,100.672,108.02,5121,0,0,0,0,7,5121,0
453,4110,6B000001171ED301,357544374331318,"2025-11-30 06:36:46","2025-11-30 14:04:17",0,0,0,44,0,0,0,73.777,163.23,11600,13943,0,0,0,89,25543,0
454,4113,48000001AE3E7401,350424067530210,"2025-11-30 03:12:42","2025-12-01 00:00:00",0,0,0,18,0,0,0,47.287,82.8,6349,29764,0,0,0,49,36113,0
455,4116,5F00000121D77801,357544377264714,"2025-11-30 04:16:02","2025-12-01 00:00:00",0,0,0,46,0,0,0,112.784,159.47,10550,20175,0,0,0,80,30725,0
458,4126,A900000120712301,354018118193063,"2025-11-30 08:40:49","2025-11-30 15:22:41",0,0,0,17,0,0,0,37.624,71.4,6878,7941,0,0,0,38,14819,0
459,4127,250000011A7F2F01,864636062811373,"2025-11-30 14:29:22","2025-12-01 00:00:00",0,0,0,5,0,0,0,9.838,30.37,4984,5909,0,0,0,49,10893,0
460,4133,8E00000123FB8401,354018117257240,"2025-11-30 12:57:49","2025-12-01 00:00:00",0,0,0,0,0,0,0,0,6.23,795,0,0,0,0,3,795,0
461,4133,8E00000123FB8401,864636062811373,"2025-11-30 02:27:37","2025-11-30 14:18:53",0,0,0,25,0,0,0,209.04,321.53,17641,25025,0,0,0,94,42666,0
462,4135,16000001342D7D01,359632107577758,"2025-11-30 00:15:28","2025-11-30 16:47:41",0,0,0,6,0,0,0,114.306,128.76,6315,686,0,0,0,9,7001,0
463,4144,1400001E9649D801,354018117255384,"2025-11-30 03:34:19","2025-11-30 16:45:46",0,0,0,16,0,0,0,146.253,178.87,11796,22695,0,0,0,56,34491,0
464,4145,EC00000133CFF701,357073299692547,"2025-11-30 11:51:04","2025-11-30 15:08:55",0,0,0,1,0,0,0,23.936,38.23,2323,5385,0,0,0,10,7708,0
465,4145,EC00000133CFF701,357544376378747,"2025-11-30 15:39:21","2025-12-01 00:00:00",0,0,0,3,0,0,0,85.058,98.73,4120,0,0,0,0,10,4120,0
466,4147,E0000001AC9B5F01,359633105019975,"2025-11-30 15:00:35","2025-12-01 00:00:00",0,0,0,2,0,0,0,6.659,12.66,965,5269,0,0,0,16,6234,0
467,4148,240000011A86C301,359633105111996,"2025-11-30 01:19:29","2025-11-30 14:19:30",0,0,0,11,0,0,0,6.947,221.34,13566,33212,0,0,0,26,46778,0
468,4151,BE00000123A99801,864636064990282,"2025-11-30 15:41:46","2025-12-01 00:00:00",0,0,0,0,0,0,0,0,2.6,717,0,0,0,0,6,717,0
469,4155,BB0000011BACAA01,357544374287858,"2025-11-30 23:55:33","2025-12-01 00:00:00",0,0,0,2,0,0,0,2.287,4.14,258,0,0,0,0,6,258,0
470,4166,F2000001A9ED3701,357544374129464,"2025-11-30 14:59:05","2025-12-01 00:00:00",0,0,0,0,0,0,0,0,0,0,1880,0,0,0,0,1880,0
471,4167,4100000132FF4F01,354018117255616,"2025-11-30 12:51:25","2025-11-30 14:18:12",0,0,0,15,0,0,0,17.484,54.32,4281,903,0,0,0,38,5184,0
472,4167,4100000132FF4F01,359633105116979,"2025-11-30 15:08:16","2025-12-01 00:00:00",0,0,0,0,0,0,0,0,0,0,21143,0,0,0,0,21143,0
